lr,Batch size,Number of layers,Nodes per layer,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,128,1,500,0,1,0.177621455,0.456715762,0.587865465,0.719015168,3.855251609,4.859529329,86
0.001,128,1,500,0,2,0.18883271,0.469245988,0.605056056,0.735018685,3.671325556,3.84426062,85
0.001,128,1,500,0,3,0.197493955,0.475357221,0.609408661,0.738931633,3.616603115,3.149045374,87
0.001,128,1,500,0.25,1,0.174016267,0.456495933,0.59129479,0.719850517,3.87468782,4.9452439,87
0.001,128,1,500,0.25,2,0.196966366,0.475313256,0.597977577,0.72503847,3.702972926,4.052020625,87
0.001,128,1,500,0.25,3,0.191030996,0.461200264,0.595603429,0.723939327,3.679105589,3.454050225,85
0.001,128,1,500,0.5,1,0.157265333,0.439964827,0.576874038,0.704682348,4.003290616,4.96348773,86
0.001,128,1,500,0.5,2,0.181490437,0.461420092,0.598856892,0.730138492,3.74819781,4.220497907,86
0.001,128,1,500,0.5,3,0.178017147,0.454033854,0.593668938,0.727104858,3.733133173,3.737171516,87
0.001,128,1,500,0.75,1,0.156913607,0.430556166,0.562629149,0.690613322,4.116688935,5.034433418,86
0.001,128,1,500,0.75,2,0.177841284,0.446383821,0.574983513,0.70732029,3.947104369,4.499422708,87
0.001,128,1,500,0.75,3,0.166805891,0.441591559,0.576126621,0.709210816,3.879701535,4.140254432,87
0.001,128,1,1000,0,1,0.185799077,0.461683887,0.598197406,0.729127281,3.77911227,4.797187966,122
0.001,128,1,1000,0,2,0.192393933,0.474389976,0.607386239,0.729522972,3.652411249,3.58263819,121
0.001,128,1,1000,0,3,0.191514619,0.468234777,0.604484502,0.737656628,3.652157725,2.721268879,121
0.001,128,1,1000,0.25,1,0.162277424,0.431523412,0.570982634,0.703407342,3.972827514,4.849752477,122
0.001,128,1,1000,0.25,2,0.198109475,0.466827874,0.602198285,0.72780831,3.65413643,3.856897666,122
0.001,128,1,1000,0.25,3,0.185755111,0.449813146,0.590855133,0.724818641,3.70326608,3.161872071,121
0.001,128,1,1000,0.5,1,0.178632667,0.444405364,0.582633546,0.717959991,3.878048457,4.902779338,122
0.001,128,1,1000,0.5,2,0.186326665,0.454825236,0.587953396,0.721257419,3.757767142,4.056603729,121
0.001,128,1,1000,0.5,3,0.191514619,0.461727852,0.596218949,0.727324687,3.707977247,3.511575779,121
0.001,128,1,1000,0.75,1,0.160650692,0.439569136,0.573796439,0.704506485,4.007809088,4.965280677,123
0.001,128,1,1000,0.75,2,0.173005056,0.43451308,0.56825676,0.704814245,3.874930652,4.357204598,122
0.001,128,1,1000,0.75,3,0.170059354,0.435348428,0.572565399,0.70916685,3.845281283,3.965618972,122
0.001,128,1,1500,0,1,0.185271488,0.459177841,0.587997362,0.715278083,3.795357847,4.713353446,171
0.001,128,1,1500,0,2,0.190943064,0.462475269,0.598417235,0.735106617,3.66975352,3.363615635,171
0.001,128,1,1500,0,3,0.180479226,0.453945922,0.590943064,0.729918663,3.734204515,2.478909555,170
0.001,128,1,1500,0.25,1,0.178368872,0.447658826,0.588744779,0.72473071,3.842015775,4.759816239,171
0.001,128,1,1500,0.25,2,0.195163772,0.466124423,0.594108595,0.723719499,3.667516152,3.616276007,170
0.001,128,1,1500,0.25,3,0.190767202,0.459177841,0.591646516,0.732072983,3.679190159,2.887053384,171
0.001,128,1,1500,0.5,1,0.173400747,0.441855353,0.57542317,0.711409101,3.918338362,4.843381769,171
0.001,128,1,1500,0.5,2,0.186634425,0.451791603,0.588217191,0.720114311,3.745720964,3.91863653,172
0.001,128,1,1500,0.5,3,0.182633546,0.44792262,0.584875797,0.722488459,3.742724604,3.329121335,171
0.001,128,1,1500,0.75,1,0.158979996,0.438250165,0.556517916,0.684765883,4.095033752,4.9869601,171
0.001,128,1,1500,0.75,2,0.168652451,0.440184656,0.570894702,0.702264234,3.915837087,4.333539849,172
0.001,128,1,1500,0.75,3,0.15893603,0.41617938,0.549131677,0.68990987,3.895860301,3.881416656,171
0.001,128,1,2500,0,1,0.172213673,0.449505386,0.582413717,0.711980655,3.857164171,4.675755382,318
0.001,128,1,2500,0,2,0.181270609,0.442251044,0.579731809,0.721521213,3.733817954,3.218826127,319
0.001,128,1,2500,0,3,0.085161574,0.305825456,0.427918224,0.562805012,4.807497205,4.598521884,315
0.001,128,1,2500,0.25,1,0.166981754,0.432138932,0.576126621,0.715014289,3.829476844,4.717006974,318
0.001,128,1,2500,0.25,2,0.127016927,0.389975819,0.535634205,0.678478787,4.219585779,4.675048646,316
0.001,128,1,2500,0.25,3,0.186238734,0.452890745,0.587030117,0.724027259,3.720902575,3.855839607,319
0.001,128,1,2500,0.5,1,0.178764564,0.449813146,0.581754232,0.709078918,3.891757674,4.805477129,318
0.001,128,1,2500,0.5,2,0.179511981,0.436227742,0.570630908,0.71039789,3.796634881,3.84862739,319
0.001,128,1,2500,0.5,3,0.185271488,0.450560563,0.584260277,0.715937569,3.749131775,3.178017861,318
0.001,128,1,2500,0.75,1,0.146142009,0.429193229,0.565311057,0.698043526,4.040639962,4.96044961,318
0.001,128,1,2500,0.75,2,0.179907672,0.435656188,0.572477468,0.700681468,3.87883305,4.250382137,318
0.001,128,1,2500,0.75,3,0.159111893,0.409496593,0.549263574,0.689118488,3.908484676,3.791649877,319
0.001,512,10,500,0,1,0.132688503,0.418685425,0.548560123,0.681380523,4.293604321,5.14335324,275
0.001,512,10,500,0,2,0.129786766,0.406331062,0.546625632,0.682611563,4.239340115,4.933047297,275
0.001,512,10,500,0,3,0.134622994,0.414816443,0.542624753,0.673510662,4.249091307,4.807346832,274
0.001,512,10,500,0.25,1,0.129830732,0.416355243,0.538008353,0.678566718,4.354139286,5.156782884,281
0.001,512,10,500,0.25,2,0.13251264,0.404484502,0.537524731,0.679489998,4.335040357,4.934745896,282
0.001,512,10,500,0.25,3,0.131413497,0.410375907,0.542009233,0.678522752,4.252475855,4.807281237,281
0.001,512,10,500,0.5,1,0.132380743,0.422202682,0.552561002,0.68990987,4.293056997,5.159001795,282
0.001,512,10,500,0.5,2,0.133040229,0.413057815,0.54838426,0.687096065,4.273889542,4.94565972,280
0.001,512,10,500,0.5,3,0.138096285,0.414288855,0.544823038,0.676016707,4.244471221,4.820499766,281
0.001,512,10,500,0.75,1,0.13251264,0.413937129,0.54152561,0.676720158,4.270929146,5.152158584,279
0.001,512,10,500,0.75,2,0.127324687,0.407122444,0.54152561,0.672279622,4.299355094,4.942373627,280
0.001,512,10,500,0.75,3,0.126049681,0.398637063,0.533479886,0.669685645,4.305428833,4.811954595,278
0.001,512,10,1000,0,1,0.131985052,0.414684546,0.546273906,0.676983953,4.311947992,5.142217114,749
0.001,512,10,1000,0,2,0.127852275,0.40593537,0.539195428,0.677379644,4.275917731,4.930079567,747
0.001,512,10,1000,0,3,0.126137613,0.405407782,0.541657507,0.673862387,4.253126081,4.808592628,746
0.001,512,10,1000,0.25,1,0.13220488,0.424972521,0.556913607,0.690481424,4.290441587,5.13729066,760
0.001,512,10,1000,0.25,2,0.131809189,0.412134535,0.545658386,0.686436579,4.230061266,4.924245901,762
0.001,512,10,1000,0.25,3,0.128335898,0.412002638,0.552517037,0.6855133,4.203807979,4.797717089,760
0.001,512,10,1000,0.5,1,0.134271268,0.420883711,0.546493735,0.678039129,4.279142602,5.141699148,757
0.001,512,10,1000,0.5,2,0.124598813,0.399648274,0.535238514,0.675445153,4.361435848,4.931097931,757
0.001,512,10,1000,0.5,3,0.128599692,0.415607826,0.544383381,0.677291712,4.255844869,4.801803348,757
0.001,512,10,1000,0.75,1,0.137304902,0.417366454,0.552473071,0.68929435,4.3382434,5.138353573,754
0.001,512,10,1000,0.75,2,0.13189712,0.413981095,0.552561002,0.684194328,4.25534438,4.928756146,754
0.001,512,10,1000,0.75,3,0.125258299,0.405803473,0.545878215,0.681292592,4.284969097,4.805973977,757
0.001,512,10,1500,0,1,0.136337657,0.433018246,0.559023961,0.688459002,4.260516633,5.143968641,1377
0.001,512,10,1500,0,2,0.132248846,0.415915586,0.550098923,0.686172785,4.30381652,4.931788766,1375
0.001,512,10,1500,0,3,0.135678171,0.409584524,0.543767861,0.680633106,4.2558902,4.804425826,1377
0.001,512,10,1500,0.25,1,0.132600572,0.414816443,0.549351506,0.685996922,4.271941471,5.135067072,1408
0.001,512,10,1500,0.25,2,0.135238514,0.410156078,0.546493735,0.679050341,4.298803245,4.920701541,1398
0.001,512,10,1500,0.25,3,0.13466696,0.406111233,0.545306661,0.677995164,4.245234489,4.801399493,1399
0.001,512,10,1500,0.5,1,0.130841943,0.406462959,0.542580787,0.682787426,4.361159346,5.135109304,1403
0.001,512,10,1500,0.5,2,0.134491097,0.41055177,0.548032535,0.678302924,4.291528712,4.908649876,1401
0.001,512,10,1500,0.5,3,0.132072983,0.412530226,0.538799736,0.674829633,4.247925377,4.787691376,1402
0.001,512,10,1500,0.75,1,0.130754012,0.420927676,0.545614421,0.684633985,4.300872241,5.140157842,1397
0.001,512,10,1500,0.75,2,0.130006595,0.41024401,0.541261816,0.678698615,4.249461089,4.924749238,1393
0.001,512,10,1500,0.75,3,0.132952297,0.40962849,0.541701473,0.685337437,4.207694509,4.793716865,1392
0.001,512,1,500,0,1,0.179511981,0.496812486,0.636359639,0.759683447,3.84165162,4.753476231,79
0.001,512,1,500,0,2,0.184524071,0.497867663,0.642470873,0.769619697,3.688688506,3.806458037,77
0.001,512,1,500,0,3,0.19406463,0.508683227,0.646779512,0.771466256,3.624777778,3.174362982,78
0.001,512,1,500,0,4,0.198681029,0.50169268,0.636447571,0.765091229,3.631454515,2.643038635,77
0.001,512,1,500,0,5,0.191338756,0.499494394,0.636975159,0.770982634,3.64999742,2.221477993,78
0.001,512,1,500,0.25,1,0.187777534,0.501296988,0.638294131,0.766981754,3.792731889,4.790528646,78
0.001,512,1,500,0.25,2,0.181798197,0.487447791,0.629017366,0.759947241,3.779125574,3.956570178,77
0.001,512,1,500,0.25,3,0.185491317,0.487623654,0.631347549,0.75832051,3.712709512,3.455536328,78
0.001,512,1,500,0.25,4,0.181930095,0.49052539,0.636403605,0.766278303,3.650715039,3.047818633,78
0.001,512,1,500,0.25,5,0.176874038,0.479358101,0.623565619,0.754715322,3.7056045,2.703012953,79
0.001,512,1,500,0.5,1,0.182457683,0.484853814,0.625588041,0.753572214,3.861030732,4.845631731,78
0.001,512,1,500,0.5,2,0.178984392,0.478654649,0.626643218,0.754935151,3.797624901,4.103123855,78
0.001,512,1,500,0.5,3,0.187337876,0.492811607,0.630160475,0.75739723,3.71910447,3.68286401,78
0.001,512,1,500,0.5,4,0.187821499,0.485996922,0.625280281,0.755067048,3.699065087,3.374354803,77
0.001,512,1,500,0.5,5,0.177489558,0.473642559,0.613937129,0.754187734,3.72404614,3.104873389,78
0.001,512,1,1000,0,1,0.201626731,0.499274566,0.634293251,0.755023082,3.752361928,4.532464104,111
0.001,512,1,1000,0,2,0.18043526,0.47311497,0.611475049,0.74930754,3.745620076,3.401731601,110
0.001,512,1,1000,0,3,0.206331062,0.502220268,0.641899319,0.770279182,3.589761379,2.663451906,111
0.001,512,1,1000,0,4,0.19753792,0.494921961,0.633501869,0.7664102,3.656662798,2.105741848,110
0.001,512,1,1000,0,5,0.197889646,0.487227962,0.630600132,0.764431743,3.736512576,1.699791022,111
0.001,512,1,1000,0.25,1,0.193932732,0.499274566,0.636843262,0.769795559,3.718601767,4.609848959,111
0.001,512,1,1000,0.25,2,0.186458562,0.487623654,0.635216531,0.766190372,3.702334139,3.64252807,112
0.001,512,1,1000,0.25,3,0.19160255,0.487447791,0.628094087,0.762233458,3.650938378,3.031446527,112
0.001,512,1,1000,0.25,4,0.189624093,0.487096065,0.629325126,0.765047263,3.632187917,2.582967375,111
0.001,512,1,1000,0.25,5,0.192349967,0.482391734,0.626291493,0.762013629,3.665700165,2.220583166,111
0.001,512,1,1000,0.5,1,0.192657727,0.49861508,0.637238954,0.76425588,3.739900838,4.657776822,111
0.001,512,1,1000,0.5,2,0.186238734,0.490261596,0.632798417,0.760298967,3.710998975,3.817178528,112
0.001,512,1,1000,0.5,3,0.189052539,0.477247747,0.615695757,0.749439437,3.710079983,3.341624176,112
0.001,512,1,1000,0.5,4,0.174587821,0.471136514,0.615827654,0.752341174,3.710219669,2.987920624,111
0.001,512,1,1000,0.5,5,0.186766322,0.470477028,0.613365575,0.747812706,3.691616376,2.698169639,111
0.001,512,1,1500,0,1,0.183424929,0.485249505,0.627610464,0.757880853,3.763479302,4.461203688,163
0.001,512,1,1500,0,2,0.204484502,0.501428885,0.639657067,0.766190372,3.59732009,3.224946357,164
0.001,512,1,1500,0,3,0.201275005,0.496680589,0.637238954,0.76733348,3.636478525,2.42857224,165
0.001,512,1,1500,0,4,0.197801715,0.489074522,0.63081996,0.764475709,3.693342018,1.884409641,164
0.001,512,1,1500,0,5,0.193581007,0.497471972,0.637766542,0.769399868,3.768237554,1.481754407,165
0.001,512,1,1500,0.25,1,0.175027479,0.488107276,0.627478567,0.757836887,3.798373662,4.488070425,164
0.001,512,1,1500,0.25,2,0.182457683,0.481600352,0.619872499,0.750054957,3.688957124,3.386072684,165
0.001,512,1,1500,0.25,3,0.19006375,0.485865025,0.625412179,0.753967905,3.647203271,2.72027851,164
0.001,512,1,1500,0.25,4,0.181754232,0.474917564,0.620312157,0.757045505,3.690874354,2.241688451,165
0.001,512,1,1500,0.25,5,0.197493955,0.485293471,0.631611343,0.761354144,3.699698273,1.899977456,165
0.001,512,1,1500,0.5,1,0.197406023,0.483315014,0.620488019,0.752517037,3.743155093,4.568242044,164
0.001,512,1,1500,0.5,2,0.196394812,0.486436579,0.623609585,0.756078259,3.678184123,3.652651242,165
0.001,512,1,1500,0.5,3,0.19067927,0.478390855,0.619828534,0.753132557,3.682365115,3.127033815,164
0.001,512,1,1500,0.5,4,0.190151682,0.467443394,0.609100901,0.746713563,3.711767266,2.776362281,166
0.001,512,1,1500,0.5,5,0.187337876,0.473642559,0.615695757,0.755594636,3.702542088,2.46239847,164
0.001,512,1,2500,0,1,0.186194768,0.484677951,0.62365355,0.754979116,3.759202687,4.540797832,308
0.001,512,1,2500,0,2,0.192877556,0.477687404,0.618509563,0.755770499,3.65577053,3.184754441,308
