lr,F1 size,F2 size,Window size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,1,16,0.04,1,0.136900418,0.366137613,0.505860629,0.644440536,5.196412267,5.751457643,122
0.001,1,16,0.04,2,0.148595296,0.424172346,0.554310838,0.697639042,4.635139381,5.405544565,123
0.001,1,16,0.04,3,0.151892724,0.438724995,0.561521213,0.70440976,4.593006473,5.342695209,123
0.001,1,16,0.08,1,0.133383161,0.272182897,0.376293691,0.511312376,5.358027066,5.785832898,139
0.001,1,16,0.08,2,0.149342713,0.402453286,0.543495274,0.688362277,4.664503945,5.428899406,139
0.001,1,16,0.08,3,0.154662563,0.42074302,0.559542757,0.698738184,4.614139303,5.349672347,139
0.001,1,16,0.2,1,0.113862387,0.378316113,0.524546054,0.659432842,5.112136311,5.73790536,187
0.001,1,16,0.2,2,0.148155639,0.440747417,0.573567817,0.706520114,4.610622925,5.395679364,187
0.001,1,16,0.2,3,0.151145307,0.450024181,0.574710925,0.710828754,4.581537406,5.335054874,187
0.001,1,16,0.4,1,0.089021763,0.244704331,0.373655749,0.539494394,5.352065256,5.778359869,275
0.001,1,16,0.4,2,0.146616839,0.407069686,0.538966806,0.681591559,4.668651475,5.424460682,275
0.001,1,16,0.4,3,0.150793581,0.422105957,0.555366015,0.695308859,4.608247927,5.333510514,275
0.001,1,32,0.04,1,0.160422071,0.432306001,0.563455705,0.690032974,4.863649559,5.707595442,131
0.001,1,32,0.04,2,0.15787206,0.44808969,0.575018685,0.712719279,4.503780704,5.324589303,130
0.001,1,32,0.04,3,0.162664322,0.456575071,0.578184216,0.715972741,4.500911384,5.299116486,131
0.001,1,32,0.08,1,0.137515938,0.43067927,0.550265993,0.682734667,4.948747677,5.707386558,149
0.001,1,32,0.08,2,0.156245329,0.445495713,0.572864366,0.709114091,4.526537387,5.333875659,149
0.001,1,32,0.08,3,0.15787206,0.456706969,0.5728204,0.712235656,4.498432615,5.297136768,149
0.001,1,32,0.2,1,0.154003078,0.365917784,0.48106397,0.626722357,5.099075837,5.741622732,204
0.001,1,32,0.2,2,0.156597054,0.430547373,0.563983293,0.699353704,4.547174719,5.351778703,203
0.001,1,32,0.2,3,0.158575511,0.438988789,0.569522972,0.706080457,4.519196849,5.295103976,204
0.001,1,32,0.4,1,0.135581446,0.392956694,0.527227962,0.663169927,5.033827506,5.730974655,292
0.001,1,32,0.4,2,0.149914267,0.436262915,0.568291932,0.704981315,4.531415198,5.34037144,292
0.001,1,32,0.4,3,0.152596175,0.443781051,0.57097384,0.709377885,4.507209004,5.296851139,293
0.001,1,64,0.04,1,0.163455705,0.443165531,0.576601451,0.70656408,4.572540728,5.618786919,168
0.001,1,64,0.04,2,0.158971202,0.454772477,0.574579028,0.715005496,4.443639861,5.280266427,165
0.001,1,64,0.04,3,0.161916905,0.45741042,0.579459222,0.719446032,4.441730192,5.272098895,165
0.001,1,64,0.08,1,0.158399648,0.439604309,0.573831611,0.707443394,4.589054627,5.627738047,193
0.001,1,64,0.08,2,0.1591031,0.444704331,0.577744559,0.710301165,4.453159078,5.276140331,192
0.001,1,64,0.08,3,0.160773796,0.453189712,0.578316113,0.715401187,4.44606443,5.261130365,193
0.001,1,64,0.2,1,0.149210816,0.43191031,0.56226863,0.692626951,4.679031563,5.654667771,274
0.001,1,64,0.2,2,0.15848758,0.446067268,0.574754891,0.705552869,4.464582751,5.287227483,274
0.001,1,64,0.2,3,0.157476368,0.452222466,0.570710046,0.709245988,4.446574391,5.265426129,273
0.001,1,64,0.4,1,0.15817982,0.44962849,0.578404045,0.71403825,4.582821062,5.642863177,418
0.001,1,64,0.4,2,0.158399648,0.460048362,0.580162673,0.718610684,4.453215811,5.288869293,418
0.001,1,64,0.4,3,0.160334139,0.464972521,0.581965267,0.720677072,4.445947223,5.280297111,418
0.001,1,128,0.04,1,0.164203122,0.456135414,0.580074742,0.715313256,4.411903932,5.546363306,202
0.001,1,128,0.04,2,0.159674654,0.4552561,0.579415256,0.712059793,4.426744546,5.264801867,202
0.001,1,128,0.04,3,0.160553968,0.459388877,0.58152561,0.715093427,4.418239721,5.254702664,201
0.001,1,128,0.08,1,0.164906573,0.454596615,0.579503188,0.718742581,4.414753342,5.529400531,248
0.001,1,128,0.08,2,0.16226863,0.454288855,0.581349747,0.718918444,4.407359356,5.263282229,247
0.001,1,128,0.08,3,0.161565179,0.458685425,0.583152341,0.719709826,4.409185621,5.250200392,247
0.001,1,128,0.2,1,0.163983293,0.4583337,0.57875577,0.718302924,4.421411959,5.543573248,352
0.001,1,128,0.2,2,0.17343592,0.455300066,0.579766982,0.724018466,4.401500999,5.25926651,353
0.001,1,128,0.2,3,0.17559024,0.461455265,0.584207518,0.725337437,4.357049645,5.224792116,353
0.001,1,128,0.4,1,0.160817762,0.459476808,0.579283359,0.718522752,4.406002691,5.550617955,573
0.001,1,128,0.4,2,0.161477248,0.455783689,0.584691141,0.713202902,4.401905908,5.252330601,573
0.001,1,128,0.4,3,0.1591031,0.459300945,0.58214113,0.715928776,4.413441383,5.246367661,572
0.001,2,16,0.04,1,0.162620356,0.416918004,0.54200044,0.668841504,5.150600645,5.746436052,127
0.001,2,16,0.04,2,0.15848758,0.453673335,0.572468674,0.709553748,4.602939998,5.398094196,127
0.001,2,16,0.04,3,0.162796219,0.455387997,0.576821279,0.716016707,4.563301998,5.337563442,127
0.001,2,16,0.08,1,0.114389976,0.340549571,0.493989888,0.643781051,5.170304065,5.748966702,145
0.001,2,16,0.08,2,0.142879754,0.421006815,0.562488459,0.702870961,4.632692093,5.396208388,147
0.001,2,16,0.08,3,0.149870301,0.440439657,0.571457463,0.707267531,4.589800347,5.342746153,145
0.001,2,16,0.2,1,0.143275445,0.372160914,0.489901077,0.624831831,5.207666323,5.752449571,209
0.001,2,16,0.2,2,0.150046164,0.431338756,0.555541877,0.693110574,4.629278978,5.396205005,208
