lr,Batch size,Dropout odds,Hidden size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration,,,,
0.001,128,0,500,1,0.128643658,0.437151022,0.559375687,0.687227962,4.221726616,5.212698239,161,,,,
0.001,128,0,500,2,0.143240273,0.444801055,0.579468015,0.707364256,4.083191856,4.924193455,159,,,,
0.001,128,0,500,3,0.153044625,0.443350187,0.565838646,0.701956474,4.003461676,4.64346147,159,,,,
0.001,128,0,500,4,0.149219609,0.454649373,0.579951638,0.709430644,3.9959125,4.355457113,159,,,,
0.001,128,0,500,5,0.143328204,0.4488459,0.574016267,0.707540119,4.005892048,4.092403601,161,,,,
0.001,128,0,1000,1,0.169531765,0.463618378,0.58914047,0.724642779,4.019518377,5.138196281,172,,,,
0.001,128,0,1000,2,0.20276984,0.460892504,0.59406463,0.727632447,3.79207544,4.642438372,172,,,,
0.001,128,0,1000,3,0.20092328,0.455572653,0.584787865,0.720202242,3.734660545,4.155453086,171,,,,
0.001,128,0,1000,4,0.175379204,0.421763025,0.556561882,0.708375467,3.819895341,3.662860547,171,,,,
0.001,128,0,1000,5,0.186766322,0.438601891,0.56702572,0.708067707,3.820242021,3.209259743,170,,,,
0.001,128,0,1500,1,0.126928995,0.427390635,0.534183337,0.669993405,4.455373748,5.274244447,214,,,,
0.001,128,0,1500,2,0.122928116,0.429457024,0.542712684,0.679665861,4.380184795,5.243024082,213,,,,
0.001,128,0,1500,3,0.123983293,0.429281161,0.543108375,0.67434601,4.362232565,5.234914769,213,,,,
0.001,128,0,1500,4,0.123323807,0.429720818,0.542185096,0.674785667,4.349735932,5.220480551,215,,,,
0.001,128,0,1500,5,0.12473071,0.430028578,0.543723895,0.680193449,4.41457064,5.212640451,215,,,,
0.001,128,0,2000,1,0.107540119,0.437107056,0.566542097,0.698131457,4.093422308,5.197167528,282,,,,
0.001,128,0,2000,2,0.146493735,0.445944164,0.580215432,0.710134095,4.062735788,4.940484038,278,,,,
0.001,128,0,2000,3,0.139766982,0.423081996,0.565618817,0.697428006,4.071534561,4.642027965,276,,,,
0.001,128,0,2000,4,0.140734227,0.434688943,0.562805012,0.70855133,3.998613354,4.297891374,275,,,,
0.001,128,0,2000,5,0.120905694,0.417674214,0.544471312,0.688546933,4.074046235,3.905443469,276,,,,
0.001,128,0.25,500,1,0.172477468,0.439920862,0.571642119,0.703495274,4.075968099,5.154840257,152,,,,
0.001,128,0.25,500,2,0.198373269,0.458430424,0.589580128,0.721960871,3.858169379,4.706884685,159,,,,
0.001,128,0.25,500,3,0.188744779,0.438997582,0.576918004,0.716772917,3.796865944,4.348935495,160,,,,
0.001,128,0.25,500,4,0.195251704,0.449593317,0.577709387,0.715014289,3.757946297,3.955711169,161,,,,
0.001,128,0.25,500,5,0.184963728,0.44792262,0.579511981,0.715146186,3.767180794,3.610225837,160,,,,
0.001,128,0.25,1000,1,0.167685206,0.454561442,0.579336118,0.716816883,4.015791664,5.15913342,171,,,,
0.001,128,0.25,1000,2,0.195647395,0.464585623,0.592745658,0.726841064,3.864282084,4.71894449,170,,,,
0.001,128,0.25,1000,3,0.189272368,0.459265773,0.590195647,0.725566058,3.751718952,4.333570281,171,,,,
0.001,128,0.25,1000,4,0.179995603,0.449945043,0.581578369,0.719542757,3.76873985,3.892014774,171,,,,
0.001,128,0.25,1000,5,0.162805012,0.424444933,0.562057595,0.705122005,3.83646669,3.481944466,170,,,,
0.001,128,0.25,1500,1,0.141173884,0.455264893,0.579555946,0.713387558,4.05535166,5.162479345,214,,,,
0.001,128,0.25,1500,2,0.195251704,0.453901956,0.587513739,0.724203122,3.839951952,4.754978669,214,,,,
