lr,Batch size,Number of layers,Nodes per layer,Kernel size,F1 size,F2 size,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,Kernel size 2
0.001,128,1,1000,2,32,64,0,1,0.212574192,0.492855573,0.619388877,0.745086832,3.643549946,4.602238284,1
0.001,128,1,1000,2,32,64,0,2,0.18289734,0.460892504,0.595691361,0.731325566,3.66431168,3.503943975,1
0.001,128,1,1000,2,32,64,0,3,0.191646516,0.46656408,0.599824137,0.737744559,3.625925226,2.889916956,1
0.001,128,1,1000,2,32,64,0.25,1,0.189228402,0.463354583,0.601802594,0.730358321,3.735663399,4.727184435,1
0.001,128,1,1000,2,32,64,0.25,2,0.191074962,0.452187294,0.582413717,0.711936689,3.701671698,3.754635598,1
0.001,128,1,1000,2,32,64,0.25,3,0.182369752,0.450868323,0.589272368,0.720597934,3.685748945,3.166300804,1
0.001,128,1,1000,2,32,128,0,1,0.196658606,0.469905474,0.606506925,0.734271268,3.700208707,4.552763558,2
0.001,128,1,1000,2,32,128,0,2,0.176258518,0.454209716,0.590415476,0.726841064,3.682351003,3.424590582,2
0.001,128,1,1000,2,32,128,0,3,0.181622335,0.448670037,0.591162893,0.728643658,3.68490427,2.807993619,2
0.001,128,1,1000,2,32,128,0.25,1,0.199164652,0.474302044,0.600351726,0.728335898,3.703467522,4.665972415,2
0.001,128,1,1000,2,32,128,0.25,2,0.177797318,0.437238954,0.567509343,0.703539239,3.761608435,3.696909975,2
0.001,128,1,1000,2,32,128,0.25,3,0.18289734,0.445328644,0.582633546,0.719498791,3.714004251,3.161500996,2
0.001,128,1,1000,2,64,64,0,1,0.187293911,0.476236536,0.603473291,0.73405144,3.745277959,4.688898288,4
0.001,128,1,1000,2,64,64,0,2,0.199164652,0.468014948,0.608749176,0.740338536,3.610103819,3.632225851,4
0.001,128,1,1000,2,64,64,0,3,0.203517257,0.476412398,0.610024181,0.738975599,3.598541802,2.965689146,4
0.001,128,1,1000,2,64,64,0.25,1,0.19815344,0.473071005,0.599164652,0.728467795,3.747905936,4.697451494,4
0.001,128,1,1000,2,64,64,0.25,2,0.19006375,0.466783909,0.596218949,0.72626951,3.668911902,3.884758432,4
0.001,128,1,1000,2,64,64,0.25,3,0.180523192,0.443921741,0.577313695,0.71848758,3.713680162,3.364589333,4
0.001,128,1,1000,2,64,128,0,1,0.164431743,0.462343372,0.599912069,0.733347989,3.756763071,4.604903752,4
0.001,128,1,1000,2,64,128,0,2,0.161046384,0.439305342,0.574016267,0.707847879,3.766675479,3.578064671,1
0.001,128,1,1000,2,64,128,0,3,0.175994724,0.441459661,0.579643878,0.723279842,3.707541138,2.979459738,1
0.001,128,1,1000,2,64,128,0.25,1,0.183864586,0.459969224,0.585315454,0.715234117,3.772491132,4.696755027,1
0.001,128,1,1000,2,64,128,0.25,2,0.182325786,0.445284678,0.57419213,0.712112552,3.729612444,3.762441181,1
0.001,128,1,1000,2,64,128,0.25,3,0.16764124,0.41494834,0.550494614,0.694262475,3.802746572,3.197995807,1
0.001,128,1,1000,4,32,64,0,1,0.181710266,0.471576171,0.597186195,0.721301385,3.749437027,4.677592727,1
0.001,128,1,1000,4,32,64,0,2,0.164123983,0.44414157,0.585623214,0.727280721,3.719078197,3.630668308,2
0.001,128,1,1000,4,32,64,0,3,0.17234557,0.441811387,0.576698175,0.722312596,3.714277949,2.980428632,2
0.001,128,1,1000,4,32,64,0.25,1,0.188744779,0.453857991,0.578500769,0.706748736,3.796423707,4.777789239,2
0.001,128,1,1000,4,32,64,0.25,2,0.159683447,0.427390635,0.560562761,0.701956474,3.790733494,3.659073621,2
0.001,128,1,1000,4,32,64,0.25,3,0.168300725,0.426687184,0.566673994,0.711936689,3.792026322,3.010123621,2
0.001,128,1,1000,4,32,128,0,1,0.18382062,0.457595076,0.585227523,0.711540998,3.770654855,4.639585395,2
0.001,128,1,1000,4,32,128,0,2,0.167992965,0.453857991,0.588788745,0.726313475,3.696354645,3.615255126,4
0.001,128,1,1000,4,32,128,0,3,0.17726973,0.449109694,0.589272368,0.728775555,3.696068757,2.990522658,4
0.001,128,1,1000,4,32,128,0.25,1,0.189931853,0.44414157,0.565970543,0.696768521,3.799080519,4.676173051,4
0.001,128,1,1000,4,32,128,0.25,2,0.162365355,0.420004397,0.559507584,0.699494394,3.820949301,3.461427095,4
0.001,128,1,1000,4,32,128,0.25,3,0.163508463,0.429413058,0.571466256,0.714706529,3.813726599,2.822847879,4
0.001,128,1,1000,4,64,64,0,1,0.19437239,0.464585623,0.593976698,0.722664322,3.715623477,4.44210326,4
0.001,128,1,1000,4,64,64,0,2,0.176214553,0.452495054,0.579599912,0.720202242,3.727003841,3.164608666,4
0.001,128,1,1000,4,64,64,0,3,0.196614641,0.470345131,0.608001759,0.740074742,3.656679668,2.506827788,1
0.001,128,1,1000,4,64,64,0.25,1,0.163816223,0.429237195,0.559639481,0.693339195,3.856200131,4.703085942,1
0.001,128,1,1000,4,64,64,0.25,2,0.176258518,0.429808749,0.555374808,0.694306441,3.795525429,3.640793071,1
0.001,128,1,1000,4,64,64,0.25,3,0.154891185,0.406682787,0.548560123,0.697252143,3.861265651,3.067322237,1
0.001,128,1,1000,4,64,128,0,1,0.187909431,0.466080457,0.601494834,0.728204001,3.721426361,4.651213334,1
0.001,128,1,1000,4,64,128,0,2,0.192130138,0.469773577,0.600439657,0.733875577,3.642074146,3.534929039,1
0.001,128,1,1000,4,64,128,0,3,0.180391295,0.459925258,0.596394812,0.735018685,3.664583735,2.880903298,2
0.001,128,1,1000,4,64,128,0.25,1,0.16856452,0.445900198,0.579204221,0.713651352,3.837667254,4.758844065,2
0.001,128,1,1000,4,64,128,0.25,2,0.187821499,0.449329523,0.578764564,0.711848758,3.736904087,3.83122326,2
0.001,128,1,1000,4,64,128,0.25,3,0.161486041,0.421543196,0.555594636,0.699142669,3.819178585,3.227480689,2
0.001,128,1,1000,6,32,64,0,1,0.185227523,0.44414157,0.571730051,0.700285777,3.781641053,4.563398867,2
0.001,128,1,1000,6,32,64,0,2,0.175379204,0.439393273,0.580171466,0.719982414,3.745601034,3.01036194,2
0.001,128,1,1000,6,32,64,0,3,0.188437019,0.458826116,0.593273247,0.730710046,3.762800711,2.173972464,4
0.001,128,1,1000,6,32,64,0.25,1,0.178808529,0.439041548,0.572477468,0.705165971,3.839383326,4.806801461,4
0.001,128,1,1000,6,32,64,0.25,2,0.174104199,0.436227742,0.563244669,0.702088371,3.799622683,3.892071288,4
0.001,128,1,1000,6,32,64,0.25,3,0.164036052,0.415739723,0.555286876,0.699714223,3.840448602,3.273072827,4
0.001,128,1,1000,6,32,128,0,1,0.178193009,0.446076061,0.568344691,0.697603869,3.836566476,4.746379531,4
0.001,128,1,1000,6,32,128,0,2,0.178984392,0.462343372,0.593800835,0.729786766,3.680114367,3.598949448,4
0.001,128,1,1000,6,32,128,0,3,0.159287756,0.437282919,0.582633546,0.726972961,3.759559889,2.856681757,4
0.001,128,1,1000,6,32,128,0.25,1,0.177049901,0.429281161,0.552473071,0.682303803,3.881311955,4.838001743,1
0.001,128,1,1000,6,32,128,0.25,2,0.169575731,0.421059574,0.558100681,0.702220268,3.794603845,3.71005247,1
0.001,128,1,1000,6,32,128,0.25,3,0.161442075,0.428138052,0.567817103,0.710661684,3.822680394,3.039949048,1
0.001,128,1,1000,6,64,64,0,1,0.166937789,0.446999341,0.586194768,0.725434161,3.782831559,4.694661891,1
0.001,128,1,1000,6,64,64,0,2,0.17234557,0.438733788,0.577049901,0.718619477,3.73928602,3.604251954,1
0.001,128,1,1000,6,64,64,0,3,0.181270609,0.45284678,0.594504287,0.731413497,3.691703026,2.934564409,1
0.001,256,1,1000,1,32,64,0,1,0.208793141,0.483490877,0.609188833,0.74091009,3.553981162,3.966734346,1
