lr,Nodes per layer,Number of layers,Dropout,Batch size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,1000,1,0,128,1,0.19252583,0.454649373,0.586282699,0.720729831,3.675417358,3.932214666,190
0.001,1000,1,0,128,2,0.189404265,0.457067487,0.594196527,0.734227303,3.696839016,2.37378692,191
0.001,1000,1,0,128,3,0.192174104,0.473071005,0.616399209,0.751945483,3.782762179,1.58201754,190
0.001,1000,1,0,256,1,0.197098263,0.45724335,0.581490437,0.710925478,3.697092579,4.1278585,173
0.001,1000,1,0,256,2,0.206111233,0.472323588,0.601714663,0.736513519,3.64933505,2.649545446,174
0.001,1000,1,0,256,3,0.191734447,0.458826116,0.594899978,0.737041108,3.768611943,1.891634147,174
0.001,1000,1,0,512,1,0.212794021,0.478127061,0.606287096,0.729962629,3.646710751,4.454090156,169
0.001,1000,1,0,512,2,0.191162893,0.46625632,0.600043966,0.731457463,3.660988972,3.107655856,173
0.001,1000,1,0,512,3,0.198812926,0.47680809,0.609100901,0.743460101,3.648595529,2.306370627,170
0.001,1000,1,0,1024,1,0.214420752,0.483578809,0.616135414,0.737876456,3.697384368,4.77263658,167
0.001,1000,1,0,1024,2,0.218113871,0.493207298,0.616355243,0.739723016,3.577554236,3.58339326,167
0.001,1000,1,0,1024,3,0.195823258,0.472983073,0.605143988,0.738052319,3.632248339,2.794128932,166
0.001,1000,1,0,2048,1,0.209364696,0.472059793,0.595427566,0.725478127,3.899772167,4.970711252,169
0.001,1000,1,0,2048,2,0.221279402,0.495933172,0.621719059,0.74337217,3.616761247,4.097760646,170
0.001,1000,1,0,2048,3,0.222818202,0.492152121,0.617058694,0.74244889,3.587896307,3.417092191,175
0.001,1000,1,0.25,128,1,0.203781051,0.467927017,0.590635304,0.720246208,3.648840833,4.020684683,195
0.001,1000,1,0.25,128,2,0.182765443,0.440888107,0.577137832,0.721697076,3.741928336,2.572597575,202
0.001,1000,1,0.25,128,3,0.199428446,0.461156298,0.602681908,0.743943724,3.769206055,1.861113884,190
0.001,1000,1,0.25,256,1,0.186370631,0.450164871,0.57788525,0.708375467,3.725938545,4.216261229,170
0.001,1000,1,0.25,256,2,0.187777534,0.454033854,0.592042207,0.724862607,3.715709641,2.892868721,170
0.001,1000,1,0.25,256,3,0.196482743,0.459353704,0.595471532,0.734447131,3.748727662,2.173925177,171
0.001,1000,1,0.25,512,1,0.200527588,0.468938228,0.597625852,0.727764344,3.708016809,4.520245031,162
0.001,1000,1,0.25,512,2,0.201099143,0.47403825,0.604088811,0.731501429,3.632215473,3.264655257,161
0.001,1000,1,0.25,512,3,0.188129259,0.455880413,0.594724115,0.736909211,3.704894914,2.553390849,162
0.001,1000,1,0.25,1024,1,0.211475049,0.489997802,0.615387997,0.742492856,3.688749241,4.751531338,169
0.001,1000,1,0.25,1024,2,0.198065509,0.462519235,0.590283579,0.725478127,3.6519093,3.660573507,169
0.001,1000,1,0.25,1024,3,0.184480106,0.454341614,0.587689602,0.731325566,3.673959535,2.966048514,168
0.001,1000,1,0.25,2048,1,0.211255221,0.480105518,0.602725874,0.728599692,3.875952562,5.020091449,170
0.001,1000,1,0.25,2048,2,0.209584524,0.477643438,0.603033634,0.733347989,3.680157224,4.244172907,170
0.001,1000,1,0.25,2048,3,0.198197406,0.464673555,0.595515498,0.725873818,3.680184007,3.620396047,170
0.001,1000,1,0.5,128,1,0.18197406,0.451703671,0.582369752,0.711497032,3.735827206,4.158161925,189
0.001,1000,1,0.5,128,2,0.17326885,0.434469114,0.570411079,0.716069466,3.784208473,2.901256528,189
0.001,1000,1,0.5,128,3,0.17419213,0.449725214,0.590723236,0.728511761,3.880249613,2.24748994,190
0.001,1000,1,0.5,256,1,0.201099143,0.453550231,0.581446472,0.712200484,3.707297617,4.330585006,172
0.001,1000,1,0.5,256,2,0.182237854,0.442690701,0.577313695,0.71510222,3.744592029,3.124390691,171
0.001,1000,1,0.5,256,3,0.18443614,0.453330402,0.594636184,0.732908332,3.787407243,2.466618544,172
0.001,1000,1,0.5,512,1,0.205363816,0.459881293,0.591690481,0.727368652,3.76683348,4.776429342,162
0.001,1000,1,0.5,512,2,0.187162014,0.44761486,0.579116289,0.709034953,3.737711472,3.740021817,166
0.001,1000,1,0.5,512,3,0.194636184,0.455484722,0.593932732,0.730490218,3.663159211,3.03900478,168
0.001,1000,1,0.5,1024,1,0.205056056,0.476104638,0.605583645,0.730138492,3.781853842,4.81447687,174
0.001,1000,1,0.5,1024,2,0.204836228,0.46471752,0.589712025,0.718311717,3.684314831,3.857999453,177
0.001,1000,1,0.5,1024,3,0.194636184,0.453022642,0.585271488,0.72411519,3.699050167,3.226264646,168
0.001,1000,1,0.5,2048,1,0.207562102,0.468586503,0.590503407,0.727148824,3.91833657,5.117429235,167
0.001,1000,1,0.5,2048,2,0.202066388,0.469861508,0.595295669,0.719630688,3.816475411,4.391782803,167
0.001,1000,1,0.5,2048,3,0.208529347,0.479885689,0.604792262,0.725917784,3.657943507,3.810210048,167
0.001,1500,1,0,128,1,0.18228182,0.441899319,0.575642998,0.71633326,3.726005326,3.751628559,246
0.001,1500,1,0,128,2,0.182193889,0.455660585,0.598988789,0.737085074,3.751520689,2.139890404,280
0.001,1500,1,0,128,3,0.198637063,0.478302924,0.617454386,0.7496153,3.859149159,1.391305199,266
0.001,1500,1,0,256,1,0.18944823,0.450956254,0.58228182,0.721213454,3.699927681,3.978342625,227
0.001,1500,1,0,256,2,0.205891405,0.475093427,0.610727632,0.741305781,3.666057123,2.464093511,218
0.001,1500,1,0,256,3,0.193581007,0.465992526,0.605012091,0.743899758,3.8077661,1.685271835,218
0.001,1500,1,0,512,1,0.196966366,0.457463179,0.592657727,0.726137613,3.698491012,4.308495844,223
0.001,1500,1,0,512,2,0.200219829,0.468586503,0.600175863,0.731941086,3.660229974,2.885941376,228
0.001,1500,1,0,512,3,0.185007694,0.455352825,0.594680149,0.743767861,3.748471551,2.089182037,233
0.001,1500,1,0,1024,1,0.194812047,0.45693559,0.574851616,0.704726313,3.795235489,4.742991383,217
0.001,1500,1,0,1024,2,0.184568037,0.461771818,0.592174104,0.723367773,3.678639713,3.443140922,214
0.001,1500,1,0,1024,3,0.183073203,0.45601231,0.597186195,0.734183337,3.706935603,2.621443427,215
0.001,1500,1,0,2048,1,0.189184436,0.475049461,0.602857771,0.73497472,3.865015725,4.953090562,217
0.001,1500,1,0,2048,2,0.201275005,0.455440756,0.586942185,0.724335019,3.72262156,3.96372474,218
0.001,1500,1,0,2048,3,0.210463838,0.49206419,0.622862168,0.750362717,3.557608028,3.184813441,218
0.001,1500,1,0.25,128,1,0.196922401,0.462255441,0.59221807,0.724906573,3.666206464,3.882751555,244
0.001,1500,1,0.25,128,2,0.179336118,0.454033854,0.59344911,0.732380743,3.745593672,2.380810894,244
0.001,1500,1,0.25,128,3,0.18883271,0.465772697,0.605451748,0.741305781,3.86339313,1.638144684,244
0.001,1500,1,0.25,256,1,0.194856012,0.447175203,0.573180919,0.703934931,3.734159293,4.157808249,219
0.001,1500,1,0.25,256,2,0.195119807,0.454121785,0.588261156,0.721785008,3.710434758,2.665578638,219
0.001,1500,1,0.25,256,3,0.195163772,0.45161574,0.594196527,0.733084194,3.808456298,1.881268161,233
0.001,1500,1,0.25,512,1,0.196262915,0.457726973,0.582149923,0.709606507,3.749815559,4.383189061,222
0.001,1500,1,0.25,512,2,0.184963728,0.443570015,0.57326885,0.712903935,3.734984377,3.047077743,222
0.001,1500,1,0.25,512,3,0.188129259,0.457770939,0.597098263,0.734886788,3.727223168,2.290189779,217
0.001,1500,1,0.25,1024,1,0.198681029,0.461727852,0.589580128,0.722356562,3.771599282,4.789758275,220
0.001,1500,1,0.25,1024,2,0.199164652,0.470081337,0.597625852,0.72657727,3.649384706,3.566848731,217
0.001,1500,1,0.25,1024,3,0.190459442,0.455792482,0.585095625,0.716201363,3.711653264,2.806526112,218
0.001,1500,1,0.25,2048,1,0.20808969,0.480061552,0.598593097,0.719278962,3.966901104,5.125389851,225
0.001,1500,1,0.25,2048,2,0.196702572,0.4808969,0.611870741,0.738975599,3.733075639,4.235494179,221
0.001,1500,1,0.25,2048,3,0.195735326,0.465508903,0.598681029,0.73220488,3.668090244,3.474372482,225
0.001,1500,1,0.5,128,1,0.179731809,0.43389756,0.566893823,0.69892284,3.765343255,4.068261531,247
0.001,1500,1,0.5,128,2,0.194152561,0.459793361,0.590327545,0.723675533,3.742162249,2.683424143,249
0.001,1500,1,0.5,128,3,0.189536162,0.44915366,0.586634425,0.728775555,3.892310714,1.98448541,247
0.001,1500,1,0.5,256,1,0.177841284,0.437942405,0.564827435,0.699890086,3.783692269,4.291127382,222
